name line center width
Fe1 5638.262 5638.269687437463 0.14844665734825765
Fe1 5652.318 5652.317429011698 0.13282069341664737
Fe1 5679.023 5679.0222013702805 0.14844665734729764
Fe1 5696.089 5696.093566965221 0.1250077114503559
Fe1 5717.833 5717.83709577562 0.1484466573468176
Fe1 5720.886 5720.891971724186 0.14063367538197138
Fe1 5731.762 5731.767642620369 0.1406336753829344
Fe1 5855.076 5855.079936984184 0.14844665734777765
Fe1 5856.088 5856.087811657753 0.14063367538197138
Fe1 5858.778 5858.783290435902 0.1328206934161642
Fe1 5883.816 5883.823897635801 0.15625963931262576
Fe1 5902.473 5902.481298569768 0.14063367538197138
Fe1 5905.671 5905.676808193719 0.1484466573468176
Fe1 5909.972 5909.9739482748255 0.1484466573463376
Fe1 5916.247 5916.255585775207 0.13282069341519787
Fe1 5930.18 5930.186132619954 0.15625963931262576
Fe1 5934.654 5934.655158304306 0.15625963931262576
Fe1 5952.718 5952.718772608883 0.1250077114503559
Fe1 6003.011 6003.018750503721 0.17188560324423938
Fe1 6024.057 6024.059110937211 0.17969858520956966
Fe1 6027.051 6027.059296012019 0.1484466573468176
Fe1 6056.005 6056.006394194745 0.15625963931310444
Fe1 6065.482 6065.483541319074 0.17969858520909424
Fe1 6094.373 6094.368135646073 0.1562596393135831
Fe1 6127.906 6127.917080206565 0.1406336753824529
Fe1 6137.691 6137.698933627555 0.18751156717490117
Fe1 6151.617 6151.62166749034 0.14063367538148988
Fe1 6170.506 6170.513457883276 0.17188560324376295
Fe1 6173.334 6173.333944372875 0.1484466573468176
Fe1 6180.203 6180.209368502645 0.1484466573468176
Fe1 6187.989 6187.99109854043 0.1484466573463376
Fe1 6200.312 6200.319984082222 0.16407262127795547
Fe1 6213.429 6213.437980802544 0.15625963931262576
Fe1 6219.28 6219.289904294815 0.16407262127795547
Fe1 6226.734 6226.735676108076 0.14063367538341587
Fe1 6230.722 6230.735922874488 0.20313753110651306
Fe1 6240.646 6240.650596988895 0.13282069341519787
Fe1 6246.318 6246.322821895954 0.19532454914165479
Fe1 6252.555 6252.565394486506 0.18751156717632472
Fe1 6265.132 6265.1364824692355 0.16407262127891045
Fe1 6270.223 6270.2227337288705 0.14063367538148988
Fe1 6297.793 6297.802560067608 0.1562596393116684
Fe1 6301.5 6301.505913519324 0.18751156717490117
Fe1 6322.685 6322.6947206101595 0.15625963931310444
Fe1 6335.33 6335.336125430577 0.17188560324376295
Fe1 6336.823 6336.828404986018 0.1953245491402337
Fe1 6344.148 6344.156982069794 0.14844665734825765
Fe1 6355.028 6355.040465947941 0.18751156717395212
Fe1 6393.6 6393.613157912343 0.19532454914165479
Fe1 6411.648 6411.653333271024 0.2031375311060401
Fe1 6421.35 6421.364869854324 0.1953245491402337
Fe1 6430.845 6430.857642942585 0.18751156717490117
Fe1 6469.192 6469.188132466053 0.17188560324376295
Fe1 6475.624 6475.626029605746 0.1562596393140618
Fe1 6481.87 6481.88422816023 0.14844665734777765
Fe1 6494.98 6494.994411898588 0.21095051307279042
Fe1 6498.938 6498.939967791239 0.14063367538148988
Fe1 6518.366 6518.378666921772 0.14063367538197138
Fe1 6533.928 6533.942126997339 0.15625963931310444
Fe1 6546.238 6546.247573593235 0.17969858520909424
Fe1 6574.227 6574.233674994185 0.13282069341568103
Fe1 6581.209 6581.202854907543 0.14844665734729764
Fe1 6592.912 6592.922327856015 0.16407262127891045
Fe1 6593.869 6593.875511655823 0.16407262127891045
Fe1 6597.559 6597.56323914361 0.14844665734777765
Fe1 6608.025 6608.032634977578 0.1484466573463376
Fe1 6627.544 6627.541650945799 0.15625963931262576
Fe1 6703.566 6703.577591435482 0.15625963931262576
Fe1 6710.318 6710.320194871835 0.13282069341664737
Fe1 6713.743 6713.750093954754 0.14063367538148988
Fe1 6716.236 6716.23462221983 0.17188560324423938
Fe1 6725.356 6725.360185155707 0.1406336753810084
Fe1 6750.151 6750.166402896637 0.16407262127891045
Fe1 6810.262 6810.263860176399 0.16407262127891045
Fe1 6837.005 6837.007697444811 0.14063367538148988
Fe1 6839.83 6839.835996916375 0.15625963931310444
Fe1 6841.338 6841.33608945378 0.17188560324376295
Fe1 6842.685 6842.687735333839 0.14844665734777765
Fe1 6843.655 6843.6643580795435 0.17188560324566857
Fe1 6855.161 6855.165067532978 0.15625963931262576
Fe1 6945.204 6945.217497669031 0.17188560324423938
Fe1 7090.383 7090.390515572729 0.17969858520861884
Fe1 7127.567 7127.564683765279 0.16407262127891045
Fe1 7132.986 7132.98689324944 0.16407262127795547
Fe1 7142.517 7142.526544229495 0.17188560324423938
Fe1 7145.307 7145.3079658092665 0.18751156717679923
Fe1 7212.436 7212.444919840076 0.1796985852100451
Fe1 7401.683 7401.690969011993 0.16407262127795547
Fe1 7411.153 7411.160303154357 0.21095051307279042
Fe1 7421.559 7421.551569168669 0.164072621277478
Fe1 7435.591 7435.5836847789715 0.1796985852105205
Fe1 7445.749 7445.756187298245 0.24220244093506457
Fe1 7491.647 7491.64964336446 0.1953245491411811
Fe1 7495.065 7495.079542447379 0.25001542290086826
Fe1 7498.53 7498.540693458161 0.16407262127891045
Fe1 7511.019 7511.025838639267 0.25782840486714065
Fe1 7531.144 7531.152080182774 0.1953245491402337
Fe1 7547.896 7547.895300535156 0.17188560324423938
Fe1 7559.719 7559.70071628525 0.2265764770034561
Fe1 7568.899 7568.904409040782 0.19532454914165479
Fe1 7583.788 7583.795952667307 0.1953245491402337
Fe1 7586.018 7586.030465509482 0.22657647700392708
Fe1 7748.27 7748.274849008121 0.1953245491402337
Fe1 7832.195 7832.209714265072 0.25001542289992945
Fe1 7869.61 7869.618271916594 0.20313753110651306
Fe1 7912.866 7912.870940078419 0.1562596393140618
Fe2 5234.623 5234.62760014621 0.14063367538148988
Fe2 5256.932 5256.9414766401005 0.14063367538197138
Fe2 5425.248 5425.248734144081 0.12500771145084097
Fe2 5534.838 5534.841432176219 0.1328206934161642
Fe2 6084.102 6084.109690325178 0.14844665734777765
Fe2 6149.246 6149.246520972783 0.1562596393140618
Fe2 6247.557 6247.557273046528 0.14844665734777765
Fe2 6369.459 6369.463230656527 0.15625963931262576
Fe2 6432.676 6432.685880722547 0.1562596393140618
Fe2 6456.38 6456.390468006322 0.15625963931262576
Fe2 6516.077 6516.089463205837 0.16407262127891045
Fe2 7222.391 7222.406471846278 0.1406336753800454
Fe2 7449.329 7449.357971984408 0.18751156717537568
Fe2 7515.83 7515.838635530104 0.16407262127795547
Fe2 7533.369 7533.363154079052 0.2031375311060401
